id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,house_age,dormitory_type,condition_type
7129300520,2014-10-13 00:00:00.000000000,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1970-01-01 00:00:00.000001955,0,98178,47.5112,-122.257,new_house,house,regular
6414100192,2014-12-09 00:00:00.000000000,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1970-01-01 00:00:00.000001951,1991,98125,47.721,-122.319,new_house,house,regular
5631500400,2015-02-25 00:00:00.000000000,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1970-01-01 00:00:00.000001933,0,98028,47.7379,-122.233,new_house,apartment,regular
2487200875,2014-12-09 00:00:00.000000000,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1970-01-01 00:00:00.000001965,0,98136,47.5208,-122.393,new_house,house,good
1954400510,2015-02-18 00:00:00.000000000,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1970-01-01 00:00:00.000001987,0,98074,47.6168,-122.045,new_house,house,regular
7237550310,2014-05-12 00:00:00.000000000,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,1970-01-01 00:00:00.000002001,0,98053,47.6561,-122.005,new_house,house,regular
1321400060,2014-06-27 00:00:00.000000000,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1970-01-01 00:00:00.000001995,0,98003,47.3097,-122.327,new_house,house,regular
2008000270,2015-01-15 00:00:00.000000000,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1970-01-01 00:00:00.000001963,0,98198,47.4095,-122.315,new_house,house,regular
2414600126,2015-04-15 00:00:00.000000000,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1970-01-01 00:00:00.000001960,0,98146,47.5123,-122.337,new_house,house,regular
3793500160,2015-03-12 00:00:00.000000000,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,1970-01-01 00:00:00.000002003,0,98038,47.3684,-122.031,new_house,house,regular
